"Project name","Task name","Date","Start time","End time","Duration","Time zone","Project archived","Task completed"
"ğŸŒ¿å¨±ä¹",,"1 Jan 2022","00:00","01:32","01:32:38","+08:00","false",
"ğŸ’§ä¸“ä¸šè¯¾ç¨‹æœŸæœ«ï¼ˆarchivedï¼‰","å­¦ä¹ æ•°å­—å›¾åƒå¤„ç†","1 Jan 2022","16:12","18:09","01:56:23","+08:00","false","true"
"ğŸ’§ä¸“ä¸šè¯¾ç¨‹æœŸæœ«ï¼ˆarchivedï¼‰","å­¦ä¹ æ•°å­—å›¾åƒå¤„ç†","1 Jan 2022","22:07","23:33","01:25:41","+08:00","false","true"
"ğŸ’§ä¸“ä¸šè¯¾ç¨‹æœŸæœ«ï¼ˆarchivedï¼‰","å­¦ä¹ æ•°å­—å›¾åƒå¤„ç†","2 Jan 2022","12:04","12:13","00:08:09","+08:00","false","true"
"ğŸ’§ä¸“ä¸šè¯¾ç¨‹æœŸæœ«ï¼ˆarchivedï¼‰","å­¦ä¹ æ•°å­—å›¾åƒå¤„ç†","2 Jan 2022","12:13","12:38","00:25:00","+08:00","false","true"
"ğŸ’§ä¸“ä¸šè¯¾ç¨‹æœŸæœ«ï¼ˆarchivedï¼‰","å­¦ä¹ æ•°å­—å›¾åƒå¤„ç†","2 Jan 2022","12:43","13:08","00:25:01","+08:00","false","true"
"ğŸ’§ä¸“ä¸šè¯¾ç¨‹æœŸæœ«ï¼ˆarchivedï¼‰","å­¦ä¹ æ•°å­—å›¾åƒå¤„ç†","2 Jan 2022","13:13","13:38","00:25:00","+08:00","false","true"
"ğŸ’§ä¸“ä¸šè¯¾ç¨‹æœŸæœ«ï¼ˆarchivedï¼‰","å­¦ä¹ æ•°å­—å›¾åƒå¤„ç†","2 Jan 2022","13:43","14:03","00:20:28","+08:00","false","true"
"ğŸŒ¿å¨±ä¹",,"2 Jan 2022","14:22","15:29","01:06:20","+08:00","false",
"ğŸ’§ä¸“ä¸šè¯¾ç¨‹æœŸæœ«ï¼ˆarchivedï¼‰","å­¦ä¹ æ•°å­—å›¾åƒå¤„ç†","2 Jan 2022","15:37","16:31","00:53:47","+08:00","false","true"
"ğŸ’§ä¸“ä¸šè¯¾ç¨‹æœŸæœ«ï¼ˆarchivedï¼‰","å­¦ä¹ æ•°å­—å›¾åƒå¤„ç†","2 Jan 2022","16:31","17:38","01:07:25","+08:00","false","true"
"ğŸ’§ä¸“ä¸šè¯¾ç¨‹æœŸæœ«ï¼ˆarchivedï¼‰","å­¦ä¹ æ•°å­—å›¾åƒå¤„ç†","2 Jan 2022","18:19","19:47","01:28:12","+08:00","false","true"
"ğŸ’§ä¸“ä¸šè¯¾ç¨‹æœŸæœ«ï¼ˆarchivedï¼‰","å­¦ä¹ è®¡ç®—æœºæ§åˆ¶æŠ€æœ¯","3 Jan 2022","12:17","13:10","00:52:58","+08:00","false","true"
"ğŸ’§ä¸“ä¸šè¯¾ç¨‹æœŸæœ«ï¼ˆarchivedï¼‰","å­¦ä¹ æ•°å­—å›¾åƒå¤„ç†","3 Jan 2022","15:15","15:22","00:07:48","+08:00","false","true"
"ğŸŒŸå­¦ä¹ ","å½’æ¡£è®ºæ–‡èµ„æ–™","3 Jan 2022","18:54","20:33","01:39:46","+08:00","false","true"
"ğŸ’§ä¸“ä¸šè¯¾ç¨‹æœŸæœ«ï¼ˆarchivedï¼‰","å­¦ä¹ è®¡ç®—æœºæ§åˆ¶æŠ€æœ¯","4 Jan 2022","09:42","11:09","01:27:51","+08:00","false","true"
"ğŸ’§ä¸“ä¸šè¯¾ç¨‹æœŸæœ«ï¼ˆarchivedï¼‰","å­¦ä¹ è®¡ç®—æœºæ§åˆ¶æŠ€æœ¯","4 Jan 2022","15:13","16:41","01:28:09","+08:00","false","true"
"ğŸ’§ä¸“ä¸šè¯¾ç¨‹æœŸæœ«ï¼ˆarchivedï¼‰","å­¦ä¹ è®¡ç®—æœºæ§åˆ¶æŠ€æœ¯","4 Jan 2022","17:13","17:21","00:08:24","+08:00","false","true"
"ğŸ’§ä¸“ä¸šè¯¾ç¨‹æœŸæœ«ï¼ˆarchivedï¼‰","å­¦ä¹ è®¡ç®—æœºæ§åˆ¶æŠ€æœ¯","5 Jan 2022","08:22","08:49","00:26:23","+08:00","false","true"
"ğŸ’§ä¸“ä¸šè¯¾ç¨‹æœŸæœ«ï¼ˆarchivedï¼‰","å­¦ä¹ è®¡ç®—æœºæ§åˆ¶æŠ€æœ¯","5 Jan 2022","09:25","09:44","00:19:05","+08:00","false","true"
"ğŸ’§ä¸“ä¸šè¯¾ç¨‹æœŸæœ«ï¼ˆarchivedï¼‰","å­¦ä¹ è®¡ç®—æœºæ§åˆ¶æŠ€æœ¯","5 Jan 2022","12:52","13:30","00:38:03","+08:00","false","true"
"ğŸ’§ä¸“ä¸šè¯¾ç¨‹æœŸæœ«ï¼ˆarchivedï¼‰","å­¦ä¹ ç³»ç»Ÿè¾¨è¯†","5 Jan 2022","13:39","14:37","00:58:45","+08:00","false","true"
"ğŸ’§ä¸“ä¸šè¯¾ç¨‹æœŸæœ«ï¼ˆarchivedï¼‰","å­¦ä¹ ç³»ç»Ÿè¾¨è¯†","5 Jan 2022","14:45","14:45","00:00:11","+08:00","false","true"
"ğŸ’§ä¸“ä¸šè¯¾ç¨‹æœŸæœ«ï¼ˆarchivedï¼‰","å­¦ä¹ ç³»ç»Ÿè¾¨è¯†","5 Jan 2022","14:48","14:49","00:00:43","+08:00","false","true"
"ğŸ’§ä¸“ä¸šè¯¾ç¨‹æœŸæœ«ï¼ˆarchivedï¼‰","å­¦ä¹ æ•°å­—å›¾åƒå¤„ç†","5 Jan 2022","19:51","23:59","04:08:32","+08:00","false","true"
"ğŸ’§ä¸“ä¸šè¯¾ç¨‹æœŸæœ«ï¼ˆarchivedï¼‰","å­¦ä¹ æ•°å­—å›¾åƒå¤„ç†","6 Jan 2022","09:04","12:48","03:44:14","+08:00","false","true"
"ğŸ’§ä¸“ä¸šè¯¾ç¨‹æœŸæœ«ï¼ˆarchivedï¼‰","å­¦ä¹ æ•°å­—å›¾åƒå¤„ç†","6 Jan 2022","14:01","14:24","00:22:50","+08:00","false","true"
"ğŸ’§ä¸“ä¸šè¯¾ç¨‹æœŸæœ«ï¼ˆarchivedï¼‰","æ•°å­—å›¾åƒå¤„ç†å½’æ¡£","6 Jan 2022","19:33","19:41","00:08:41","+08:00","false","true"
"ğŸ’§ä¸“ä¸šè¯¾ç¨‹æœŸæœ«ï¼ˆarchivedï¼‰","æ•°å­—å›¾åƒå¤„ç†å½’æ¡£","6 Jan 2022","20:00","20:38","00:38:19","+08:00","false","true"
"ğŸ’§ä¸“ä¸šè¯¾ç¨‹æœŸæœ«ï¼ˆarchivedï¼‰","å­¦ä¹ è®¡ç®—æœºæ§åˆ¶æŠ€æœ¯","6 Jan 2022","22:31","23:04","00:33:47","+08:00","false","true"
"ğŸ’§ä¸“ä¸šè¯¾ç¨‹æœŸæœ«ï¼ˆarchivedï¼‰","å­¦ä¹ è®¡ç®—æœºæ§åˆ¶æŠ€æœ¯","7 Jan 2022","13:32","14:19","00:47:07","+08:00","false","true"
"ğŸ’§ä¸“ä¸šè¯¾ç¨‹æœŸæœ«ï¼ˆarchivedï¼‰","å­¦ä¹ è®¡ç®—æœºæ§åˆ¶æŠ€æœ¯","7 Jan 2022","14:50","15:19","00:29:04","+08:00","false","true"
"ğŸ’§ä¸“ä¸šè¯¾ç¨‹æœŸæœ«ï¼ˆarchivedï¼‰","å­¦ä¹ è®¡ç®—æœºæ§åˆ¶æŠ€æœ¯","7 Jan 2022","16:46","17:43","00:56:05","+08:00","false","true"
"ğŸ’§ä¸“ä¸šè¯¾ç¨‹æœŸæœ«ï¼ˆarchivedï¼‰","å­¦ä¹ è®¡ç®—æœºæ§åˆ¶æŠ€æœ¯","8 Jan 2022","14:03","14:16","00:13:45","+08:00","false","true"
"ğŸ’§ä¸“ä¸šè¯¾ç¨‹æœŸæœ«ï¼ˆarchivedï¼‰","å­¦ä¹ è®¡ç®—æœºæ§åˆ¶æŠ€æœ¯","8 Jan 2022","15:16","15:25","00:09:04","+08:00","false","true"
"ğŸ’§ä¸“ä¸šè¯¾ç¨‹æœŸæœ«ï¼ˆarchivedï¼‰","å­¦ä¹ è®¡ç®—æœºæ§åˆ¶æŠ€æœ¯","8 Jan 2022","15:42","16:22","00:39:33","+08:00","false","true"
"ğŸ’§ä¸“ä¸šè¯¾ç¨‹æœŸæœ«ï¼ˆarchivedï¼‰","å­¦ä¹ è®¡ç®—æœºæ§åˆ¶æŠ€æœ¯","8 Jan 2022","18:04","18:10","00:05:39","+08:00","false","true"
"ğŸ’§ä¸“ä¸šè¯¾ç¨‹æœŸæœ«ï¼ˆarchivedï¼‰","å­¦ä¹ è®¡ç®—æœºæ§åˆ¶æŠ€æœ¯","8 Jan 2022","18:10","18:52","00:41:19","+08:00","false","true"
"ğŸ’§ä¸“ä¸šè¯¾ç¨‹æœŸæœ«ï¼ˆarchivedï¼‰","å­¦ä¹ è®¡ç®—æœºæ§åˆ¶æŠ€æœ¯","8 Jan 2022","18:54","19:11","00:17:03","+08:00","false","true"
"ğŸŒ¿æ—¥å¸¸","æ•´ç†æ‰‹æœº","8 Jan 2022","19:22","19:59","00:37:15","+08:00","false","false"
"ğŸ’§ä¸“ä¸šè¯¾ç¨‹æœŸæœ«ï¼ˆarchivedï¼‰","å­¦ä¹ è®¡ç®—æœºæ§åˆ¶æŠ€æœ¯","9 Jan 2022","09:30","10:18","00:47:50","+08:00","false","true"
"ğŸ’§ä¸“ä¸šè¯¾ç¨‹æœŸæœ«ï¼ˆarchivedï¼‰","å­¦ä¹ è®¡ç®—æœºæ§åˆ¶æŠ€æœ¯","9 Jan 2022","10:28","11:20","00:51:46","+08:00","false","true"
"ğŸ’§ä¸“ä¸šè¯¾ç¨‹æœŸæœ«ï¼ˆarchivedï¼‰","å­¦ä¹ è®¡ç®—æœºæ§åˆ¶æŠ€æœ¯","9 Jan 2022","15:26","19:08","03:42:03","+08:00","false","true"
"ğŸ’§ä¸“ä¸šè¯¾ç¨‹æœŸæœ«ï¼ˆarchivedï¼‰","å­¦ä¹ è®¡ç®—æœºæ§åˆ¶æŠ€æœ¯","9 Jan 2022","19:57","23:59","04:02:40","+08:00","false","true"
"ğŸ’§ä¸“ä¸šè¯¾ç¨‹æœŸæœ«ï¼ˆarchivedï¼‰","å­¦ä¹ è®¡ç®—æœºæ§åˆ¶æŠ€æœ¯","10 Jan 2022","00:00","00:01","00:01:33","+08:00","false","true"
"ğŸ’§ä¸“ä¸šè¯¾ç¨‹æœŸæœ«ï¼ˆarchivedï¼‰","å­¦ä¹ è®¡ç®—æœºæ§åˆ¶æŠ€æœ¯","10 Jan 2022","07:51","07:51","00:00:02","+08:00","false","true"
"ğŸŒ¿æ—¥å¸¸","æ•´ç†æ‰‹æœº","10 Jan 2022","07:51","07:51","00:00:05","+08:00","false","false"
"ğŸ’§ä¸“ä¸šè¯¾ç¨‹æœŸæœ«ï¼ˆarchivedï¼‰","å­¦ä¹ è®¡ç®—æœºæ§åˆ¶æŠ€æœ¯","10 Jan 2022","07:51","09:02","01:11:33","+08:00","false","true"
"ğŸ’§ä¸“ä¸šè¯¾ç¨‹æœŸæœ«ï¼ˆarchivedï¼‰","å­¦ä¹ è®¡ç®—æœºæ§åˆ¶æŠ€æœ¯","10 Jan 2022","09:15","12:49","03:34:02","+08:00","false","true"
"ğŸ’§ä¸“ä¸šè¯¾ç¨‹æœŸæœ«ï¼ˆarchivedï¼‰","å­¦ä¹ ç³»ç»Ÿè¾¨è¯†","12 Jan 2022","20:45","21:50","01:05:32","+08:00","false","true"
"ğŸ’§ä¸“ä¸šè¯¾ç¨‹æœŸæœ«ï¼ˆarchivedï¼‰","å­¦ä¹ ç³»ç»Ÿè¾¨è¯†","13 Jan 2022","11:29","12:09","00:40:24","+08:00","false","true"
"ğŸ’§ä¸“ä¸šè¯¾ç¨‹æœŸæœ«ï¼ˆarchivedï¼‰","å­¦ä¹ ç³»ç»Ÿè¾¨è¯†","13 Jan 2022","17:34","18:11","00:37:44","+08:00","false","true"
"ğŸ’§ä¸“ä¸šè¯¾ç¨‹æœŸæœ«ï¼ˆarchivedï¼‰","å­¦ä¹ ç³»ç»Ÿè¾¨è¯†","13 Jan 2022","20:49","21:27","00:38:53","+08:00","false","true"
"ğŸ’§ä¸“ä¸šè¯¾ç¨‹æœŸæœ«ï¼ˆarchivedï¼‰","å­¦ä¹ ç³»ç»Ÿè¾¨è¯†","13 Jan 2022","21:48","22:42","00:54:21","+08:00","false","true"
"ğŸ’§ä¸“ä¸šè¯¾ç¨‹æœŸæœ«ï¼ˆarchivedï¼‰","å­¦ä¹ ç³»ç»Ÿè¾¨è¯†","14 Jan 2022","12:07","14:10","02:03:26","+08:00","false","true"
"ğŸ’§ä¸“ä¸šè¯¾ç¨‹æœŸæœ«ï¼ˆarchivedï¼‰","å­¦ä¹ ç³»ç»Ÿè¾¨è¯†","14 Jan 2022","15:53","17:39","01:45:50","+08:00","false","true"
"ğŸ’§ä¸“ä¸šè¯¾ç¨‹æœŸæœ«ï¼ˆarchivedï¼‰","å­¦ä¹ ç³»ç»Ÿè¾¨è¯†","14 Jan 2022","19:32","20:37","01:04:17","+08:00","false","true"
"ğŸ’§ä¸“ä¸šè¯¾ç¨‹æœŸæœ«ï¼ˆarchivedï¼‰","å­¦ä¹ ç³»ç»Ÿè¾¨è¯†","14 Jan 2022","20:38","20:38","00:00:04","+08:00","false","true"
"ğŸ’§ä¸“ä¸šè¯¾ç¨‹æœŸæœ«ï¼ˆarchivedï¼‰","å­¦ä¹ ç³»ç»Ÿè¾¨è¯†","14 Jan 2022","22:01","22:54","00:53:06","+08:00","false","true"
"ğŸ’§ä¸“ä¸šè¯¾ç¨‹æœŸæœ«ï¼ˆarchivedï¼‰","å­¦ä¹ ç³»ç»Ÿè¾¨è¯†","15 Jan 2022","09:54","10:04","00:10:04","+08:00","false","true"
"ğŸ’§ä¸“ä¸šè¯¾ç¨‹æœŸæœ«ï¼ˆarchivedï¼‰","å­¦ä¹ ç³»ç»Ÿè¾¨è¯†","15 Jan 2022","10:40","11:38","00:58:12","+08:00","false","true"
"ğŸ’§ä¸“ä¸šè¯¾ç¨‹æœŸæœ«ï¼ˆarchivedï¼‰","å­¦ä¹ ç³»ç»Ÿè¾¨è¯†","15 Jan 2022","14:00","14:05","00:04:42","+08:00","false","true"
"ğŸ’§ä¸“ä¸šè¯¾ç¨‹æœŸæœ«ï¼ˆarchivedï¼‰","å­¦ä¹ ç³»ç»Ÿè¾¨è¯†","15 Jan 2022","15:21","17:20","01:59:30","+08:00","false","true"
"ğŸŒ¿å¨±ä¹","deadcell","19 Jan 2022","13:43","15:11","01:28:36","+08:00","false","false"
"ğŸŒ¿æ—¥å¸¸","æ•´ç†ç”µè„‘ï¼Œå½’æ¡£èµ„æ–™","19 Jan 2022","18:26","19:13","00:47:06","+08:00","false","false"
"ğŸŒ¿æ—¥å¸¸","æ•´ç†ç”µè„‘ï¼Œå½’æ¡£èµ„æ–™","19 Jan 2022","19:52","20:05","00:13:29","+08:00","false","false"
"ğŸŒ¿å¨±ä¹","deadcell","19 Jan 2022","20:05","21:37","01:32:01","+08:00","false","false"
"ğŸŒ¿æ—¥å¸¸","æ•´ç†ç”µè„‘ï¼Œå½’æ¡£èµ„æ–™","19 Jan 2022","21:37","23:22","01:44:41","+08:00","false","false"
"ğŸŒ¿å¨±ä¹","deadcell","20 Jan 2022","12:47","12:50","00:02:56","+08:00","false","false"
"ğŸŒ¿å¨±ä¹","è§†é¢‘","20 Jan 2022","12:50","13:23","00:33:05","+08:00","false","false"
"ğŸŒ¿å¨±ä¹","deadcell","20 Jan 2022","13:23","14:25","01:01:59","+08:00","false","false"
"ğŸŒ¿å¨±ä¹","deadcell","20 Jan 2022","14:28","14:53","00:25:02","+08:00","false","false"
"ğŸŒ¿æ—¥å¸¸","æ•´ç†ç”µè„‘ï¼Œå½’æ¡£èµ„æ–™","20 Jan 2022","16:00","16:33","00:32:22","+08:00","false","false"
"æˆ‘æƒ³åšçš„äº‹æƒ…","å›¾ç‰‡ç®¡ç† 60","20 Jan 2022","16:33","17:41","01:07:46","+08:00","false","true"
"æˆ‘æƒ³åšçš„äº‹æƒ…","postè€ƒç ”æ€»ç»“","20 Jan 2022","17:56","18:23","00:27:40","+08:00","false","false"
"ğŸŒ¿å¨±ä¹","è§†é¢‘","20 Jan 2022","18:23","19:10","00:47:03","+08:00","false","false"
"ğŸŒŸå­¦ä¹ ","c#","20 Jan 2022","19:22","22:12","02:50:31","+08:00","false","true"
"ğŸŒ¿å¨±ä¹","deadcell","20 Jan 2022","22:23","23:59","01:36:29","+08:00","false","false"
"ğŸŒ¿å¨±ä¹","deadcell","21 Jan 2022","00:00","00:37","00:37:12","+08:00","false","false"
"ğŸŒ¿å¨±ä¹","deadcell","21 Jan 2022","13:36","14:05","00:29:00","+08:00","false","false"
"ğŸŒŸå­¦ä¹ ","c#","21 Jan 2022","14:05","15:44","01:38:45","+08:00","false","true"
"ğŸŒ¿å¨±ä¹","deadcell","21 Jan 2022","15:51","15:51","00:00:02","+08:00","false","false"
"ğŸŒ¿å¨±ä¹","è§†é¢‘","21 Jan 2022","15:51","16:22","00:31:14","+08:00","false","false"
"ğŸŒŸå­¦ä¹ ","c#","21 Jan 2022","16:22","16:48","00:26:02","+08:00","false","true"
"ğŸŒŸå­¦ä¹ ","c#","21 Jan 2022","16:49","17:12","00:23:40","+08:00","false","true"
"ğŸŒŸå­¦ä¹ ","c#","21 Jan 2022","17:18","18:13","00:54:44","+08:00","false","true"
"ğŸŒ¿å¨±ä¹","deadcell","21 Jan 2022","18:23","19:54","01:30:47","+08:00","false","false"
"ğŸŒ¿å¨±ä¹","deadcell","21 Jan 2022","20:24","21:01","00:37:57","+08:00","false","false"
"ğŸŒŸå­¦ä¹ ","c#","21 Jan 2022","21:37","22:55","01:17:50","+08:00","false","true"
